run_id,timestamp_utc,os_name,os_version,cpu_name,gpu_name,gpu_vendor,gpu_driver,backend,frontend,runner,model_name,model_hash,workload_name,prompt_name,seed,width,height,steps,cfg,sampler,scheduler,batch_size,run_index,warmup,total_time_sec,items_per_sec,tokens_per_sec,vram_peak_mb,ram_peak_mb,gpu_temp_c,gpu_power_w,success,error_type,notes,output_path,raw_log_path
b20835e14c7141c28faac9f33084be3d,2026-06-06T13:01:10.143634+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,cpu,llama.cpp,llamacpp,model.gguf,,text-basic,text-basic,0,,,,,,,1,1,true,,,,,,,,false,missing_executable,Executable not found: missing\llama-cli,,results\logs\text-basic-run-1.log
f5624b2f222f4a7fb1fd5078787679a9,2026-06-06T13:01:10.144632+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,cpu,llama.cpp,llamacpp,model.gguf,,text-basic,text-basic,0,,,,,,,1,2,false,,,,,,,,false,missing_executable,Executable not found: missing\llama-cli,,results\logs\text-basic-run-2.log
adf6c59646014753ad131c050e0553fd,2026-06-06T13:34:23.693980+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,cpu,llama.cpp,llamacpp,model.gguf,,text-basic,text-basic,0,,,,,,,1,1,true,,,,,,,,false,missing_executable,Executable not found: missing\llama-cli,,results\20260606T133423Z-text-basic-llamacpp\logs\text-basic-run-1.log
7e7d98540c83498d901d29373dbcb38e,2026-06-06T13:34:23.695483+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,cpu,llama.cpp,llamacpp,model.gguf,,text-basic,text-basic,0,,,,,,,1,2,false,,,,,,,,false,missing_executable,Executable not found: missing\llama-cli,,results\20260606T133423Z-text-basic-llamacpp\logs\text-basic-run-2.log
6225eae29da945beb945a69be719bcdc,2026-06-06T13:34:50.343781+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,cpu,llama.cpp,llamacpp,model.gguf,,text-basic,text-basic,0,,,,,,,1,1,true,,,,,,,,false,missing_executable,Executable not found: missing\llama-cli,,results\20260606T133449Z-text-basic-llamacpp\logs\text-basic-run-1.log
7ae564ad6b6548178010efe8967125c0,2026-06-06T13:34:50.344780+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,cpu,llama.cpp,llamacpp,model.gguf,,text-basic,text-basic,0,,,,,,,1,2,false,,,,,,,,false,missing_executable,Executable not found: missing\llama-cli,,results\20260606T133449Z-text-basic-llamacpp\logs\text-basic-run-2.log
f38f1e4d261040d78a9aebe2ebd43ece,2026-06-06T13:35:07.216338+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,cpu,llama.cpp,llamacpp,model.gguf,,text-basic,text-basic,0,,,,,,,1,1,true,,,,,,,,false,missing_executable,Executable not found: missing\llama-cli,,results\20260606T133506Z-text-basic-llamacpp\logs\text-basic-run-1.log
a0ad951c6310402bafac571db6f40315,2026-06-06T13:35:07.216338+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,cpu,llama.cpp,llamacpp,model.gguf,,text-basic,text-basic,0,,,,,,,1,2,false,,,,,,,,false,missing_executable,Executable not found: missing\llama-cli,,results\20260606T133506Z-text-basic-llamacpp\logs\text-basic-run-2.log
0592c2e538a441fea4fdf56f03548a97,2026-06-06T13:38:55.852948+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,unknown,Ollama,ollama,CHANGE_ME,,ollama-basic,ollama-basic,0,,,,,,,1,1,true,2.0560,,,,,,,false,connection_error,[WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente,,results\20260606T133855Z-ollama-basic-ollama\logs\ollama-basic-run-1.json
797087db778f4db68e3c7b8ba8f0a23b,2026-06-06T13:38:58.003006+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,unknown,Ollama,ollama,CHANGE_ME,,ollama-basic,ollama-basic,0,,,,,,,1,2,false,2.0350,,,,,,,false,connection_error,[WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente,,results\20260606T133855Z-ollama-basic-ollama\logs\ollama-basic-run-2.json
691b3ec39fc34cd4ac3214336cf44b2c,2026-06-06T13:39:00.141006+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,unknown,Ollama,ollama,CHANGE_ME,,ollama-basic,ollama-basic,0,,,,,,,1,3,false,2.0155,,,,,,,false,connection_error,[WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente,,results\20260606T133855Z-ollama-basic-ollama\logs\ollama-basic-run-3.json
b0ce429e334d4ef3805247f6aa0d714d,2026-06-06T13:39:02.180012+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,unknown,Ollama,ollama,CHANGE_ME,,ollama-basic,ollama-basic,0,,,,,,,1,4,false,2.0307,,,,,,,false,connection_error,[WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente,,results\20260606T133855Z-ollama-basic-ollama\logs\ollama-basic-run-4.json
b7d1c100c4144323a216cbd4d928093a,2026-06-06T13:39:04.214996+00:00,Windows,10.0.26200,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",AMD Radeon RX 6750 XT,AMD,32.0.21043.12001,unknown,Ollama,ollama,CHANGE_ME,,ollama-basic,ollama-basic,0,,,,,,,1,5,false,2.0203,,,,,,,false,connection_error,[WinError 10061] Nenhuma conexão pôde ser feita porque a máquina de destino as recusou ativamente,,results\20260606T133855Z-ollama-basic-ollama\logs\ollama-basic-run-5.json
